Text	Label
For how long do Drosophila embryos use maternal genome mRNA?	[1 0 0 0]
What is the function of a viral peplomer?	[1 0 0 0]
Which was the first cholera vaccine approved in the US?	[1 0 0 0]
What is the function of WAPL protein on cohesin?	[1 0 0 0]
What is romiplostim targeting?	[1 0 0 0]
What is the role of STAG1/STAG2 proteins in differentiation?	[1 0 0 0]
Which method is behind HipMCL?	[1 0 0 0]
What is drug target for olaparib?	[1 0 0 0]
Which cells mature in the human thymus?	[1 0 0 0]
When was vivotif first licenced in Europe?	[1 0 0 0]
What animal is thought to be the host for the Coronavirus causing MERS?	[1 0 0 0]
Which is the most common monogenic cause of common variable immunodeficiency (CVID) in Europeans?	[1 0 0 0]
Which disease is caused by de novo VPS4A mutations?	[1 0 0 0]
What is the target of a drug pidilizumab?	[1 0 0 0]
Han Wistar and Sprague Dawley are breeds of what laboratory animal?	[1 0 0 0]
What does tsDMARD stand for?	[1 0 0 0]
What is the primary indication of tocilizumab?	[1 0 0 0]
Which transcription factor controls Drosophila's Hes genes?	[1 0 0 0]
What kind of mutations cause GRK1 associated Oguchi disease?	[1 0 0 0]
What disease is associated with Anticitrullinated peptide antibodies (ACPAs)?	[1 0 0 0]
What was the predominant rotavirus genotype in the pre-vaccine era, in Australia?	[1 0 0 0]
What does csDMARD stand for?	[1 0 0 0]
Roughly how many base pairs are in the human mitochondrial genome or mtDNA?	[1 0 0 0]
What is caused by heterozygous lamin B1 and lamin B2 variants?	[1 0 0 0]
What does Retapamulin treat?	[1 0 0 0]
Which histone mark distinguishes active from inactive enhancers?	[1 0 0 0]
What does DMARD stand for?	[1 0 0 0]
What is targeted by Pexidartinib?	[1 0 0 0]
What is the microgenderome?	[1 0 0 0]
Which syndrome is caused by dysfunction of the ciliary ARMC9/TOGARAM1 protein?	[1 0 0 0]
Which main viral protein is targeted by the drug remdesivir?	[1 0 0 0]
Which type of pluripotency is Otx2 associated with?	[1 0 0 0]
How many DNaseI hypersensitive sites (DHS) mark the murine beta globin locus region?	[1 0 0 0]
Which loss-of-function ABCC8 mutation is associated with Pulmonary Arterial Hypertension (PAH)?	[1 0 0 0]
Which disease is rated using the Fahn-Tolosa-Marin scale?	[1 0 0 0]
Which is the master oncogenic transcription factor in T-cell acute lymphoblastic leukemia?	[1 0 0 0]
HER-2 belongs to what family of proteins?	[1 0 0 0]
What does bDMARD stand for?	[1 0 0 0]
Approximately how many genes are contained in the X chromosome's non-pseudoautosomal region (non-PAR)?	[1 0 0 0]
What is the chromosomal abnormality associated with Klinefelter Syndrome	[1 0 0 0]
What distinguishes RIDLs from other transpozable elements?	[1 0 0 0]
What indication has FTY720 been approved for by the FDA?	[1 0 0 0]
Is fingolimod a drug or a pro-drug?	[1 0 0 0]
Which conditions is caused by mutations in HFE?	[1 0 0 0]
Which chromosome contains the TLR7 locus in the human genome?	[1 0 0 0]
What is marked by DNaseI hypersensitive sites?	[1 0 0 0]
Which type of analysis does DeSeq2 perform?	[1 0 0 0]
What is FeatureCounts used for?	[1 0 0 0]
Which deep learning framework has been developed for cancer molecular subtype classification?	[1 0 0 0]
What class of drugs have been given a black box warning for suicide?	[1 0 0 0]
What nerve is affected in Carpel Tunnel syndrome?	[1 0 0 0]
What drug, used to treat rheumatoid arthritis, is an interleukin-1 receptor antagonist?	[1 0 0 0]
Herpes viruses have what type of genome?	[1 0 0 0]
Which cancer can be treated with Darolutamide?	[1 0 0 0]
What is the target of Volanesorsen?	[1 0 0 0]
Roflumilast Cream is effective for which disease?	[1 0 0 0]
Which company developed eptinezumab?	[1 0 0 0]
Which network analysis method can you use for prioritization of metabolic disease genes?	[1 0 0 0]
What is the mode of administration of AZD8601?	[1 0 0 0]
Which class of disorders are caused by AMPA receptor GluA2 subunit defects?	[1 0 0 0]
Where are integrins localized in a cell?	[1 0 0 0]
What is a bacteriocin?	[1 0 0 0]
"What protein complex is altered in ""Coffin-Siris syndrome""?"	[1 0 0 0]
What is Aortitis?	[1 0 0 0]
What is a decoy exosome?	[1 0 0 0]
Which was  the first oral drug for the treatment of multiple sclerosis by the US Food and Drug Administration (FDA)?	[1 0 0 0]
How many patients were enrolled in the FREEDOMS clinical trial?	[1 0 0 0]
What is blepharospasm?	[1 0 0 0]
Which tool has been developed for microRNA-target enrichment and network-based analysis?	[1 0 0 0]
What promotes amyloid-peptide beta 42 (Aβ42) accumulation in neuroblastoma cells?	[1 0 0 0]
Which method has been developed for detection of ATAC-seq or ChIP-seq signals with DNA methylation?	[1 0 0 0]
Which protein is involved in the organization and regulation of pluripotency-associated three-dimensional enhancer networks?	[1 0 0 0]
Where is the agouti-related peptide expressed?	[1 0 0 0]
What is the function of ketohexokinase-A?	[1 0 0 0]
Which bioconductor tool has been developed for accessing bacterial regulatory networks?	[1 0 0 0]
What impacts stability of genomic imprinting in mouse pluripotent stem cells?	[1 0 0 0]
What are the end products of the shikimate pathway?	[1 0 0 0]
Which key gene is involved in syndromic obesity phenotype of patients with 1p21.3 microdeletions?	[1 0 0 0]
What is the main manifestation of Liebenberg syndrome?	[1 0 0 0]
Which disease is treated with Anti–Siglec-8 Antibody?	[1 0 0 0]
What syndrome is associated with mutations in lysine methyltransferase 2D KMT2D?	[1 0 0 0]
How many nucleotides long is the HOTAIR CNE?	[1 0 0 0]
What is the function of osteolectin?	[1 0 0 0]
What is ECMO?	[1 0 0 0]
Which receptors does bimagrumab block?	[1 0 0 0]
Which RNA polymerase transcribes enhancer RNAs?	[1 0 0 0]
Which cell secretes the enzyme tryptase?	[1 0 0 0]
What disease does BCG immunotherapy used to treat?	[1 0 0 0]
Which epigenetic marks are deposited by PRC1?	[1 0 0 0]
Which key gene is involved in interstitial 6q25 microdeletion syndrome?	[1 0 0 0]
Brensocatib was tested for treatment of which disease?	[1 0 0 0]
What is the function of the protein Cuf1?	[1 0 0 0]
How many groups of viruses exist  in the Baltimore Classification?	[1 0 0 0]
What disease is associate with defects in both the KDM6A (lysine specific demethylase 6A) and KMT2D (lysine methyltransferase 2D)	[1 0 0 0]
Which transcription factor regulates emergency granulopoiesis?	[1 0 0 0]
When did eptinezumab get its first FDA approval?	[1 0 0 0]
Which database exists that contains regulatory sites for splicing in human basal ganglia?	[1 0 0 0]
What is a HapMap	[1 0 0 0]
What pathological condition is MK-1602 used for?	[1 0 0 0]
Which yeast genes encode for condensin?	[1 0 0 0]
What is another name for the drug AMG334?	[1 0 0 0]
Which gene is primarily associated with the Saethre-Chotzen syndrome?	[1 0 0 0]
Which master regulator drives liver development?	[1 0 0 0]
Which subcortical brain structure is influenced the most by common genetic variants?	[1 0 0 0]
Givosiran is used for treatment of which disease?	[1 0 0 0]
What is  Exencephaly?	[1 0 0 0]
Inhaled Molgramostim can be used for treatment of which disease?	[1 0 0 0]
What is a likely origin of intronless genes?	[1 0 0 0]
Which company developed ivosidenib?	[1 0 0 0]
How is the STING protein activated?	[1 0 0 0]
"What does ""28"" stand for in the Disease Activity Score DAS28?"	[1 0 0 0]
Which receptor is blocked by Finerenone?	[1 0 0 0]
What is the effect of carbamazepine on CYP3A4?	[1 0 0 0]
What protein is Otof gene encoding?	[1 0 0 0]
Does the HercepTest use a polycloncal or monoclonal antibody?	[1 0 0 0]
Where is the organ of Corti located?	[1 0 0 0]
What is the function of the stard10 protein?	[1 0 0 0]
What is the target of adalimumab?	[1 0 0 0]
Which gene is implicated in the metabolism of codeine, and its polymorphisms in the mother can pose a risk to breastfeeding children?	[1 0 0 0]
What is the cause of the Kleefstra syndrome?	[1 0 0 0]
The Shingrix vaccine is used to prevent what disease?	[1 0 0 0]
Which class of genomic elements was assessed as part of the FANTOM6 project?	[1 0 0 0]
Which molecule is targeted by Camrelizumab?	[1 0 0 0]
What is a foam cell?	[1 0 0 0]
What class of drugs frequently has muscle pain and other muscle toxicities such as mysositis and rhabdomyolysis as a side effect?	[1 0 0 0]
Which cytokine molecule activates SMADs?	[1 0 0 0]
What are common variants at 12q14 and 12q24 associated with?	[1 0 0 0]
Which mutation is targeted by Sotorasib?	[1 0 0 0]
When is DELE1 exiting the mitochondrion?	[1 0 0 0]
Which histone mark is recognized by HP1?	[1 0 0 0]
What is the function of the HSJ1 proteins?	[1 0 0 0]
What is the indication for zolmitriptan?	[1 0 0 0]
What percentage of C. elegans genes reside in operons?	[1 0 0 0]
What is the most advanced phase of clinical trial that fingolimod has entered?	[1 0 0 0]
What is caused by a gain-of-function mutation in CLCN2?	[1 0 0 0]
What is the mode of administration of Ubrogepant?	[1 0 0 0]
Which animal bite can cause Capnocytophaga canimorsus infection?	[1 0 0 0]
What is the function of lysozyme?	[1 0 0 0]
What methodology does the HercepTest use?	[1 0 0 0]
Which R/Bioconductor package has been developed for gene expression signature searching?	[1 0 0 0]
Which molecule is targeted by Upadacitinib?	[1 0 0 0]
"On what chromosome is the gene for ""SILVER"" coat color found for the domestic cat?"	[1 0 0 0]
What is the prevalence of poor metabolizers of CYP2C19 among Southern Asians compared to East Asians?	[1 0 0 0]
Which R/Bioconductor package has been developed for network-based differential expression analysis?	[1 0 0 0]
Which database contains gene expression data for yeast?	[1 0 0 0]
Which CYP gene polymorphism is a well-known predictor of efavirenz disposition?	[1 0 0 0]
What is the role of the IRE1a-XBP1 pathway?	[1 0 0 0]
What methodology does the FoundationOne CDx test use?	[1 0 0 0]
Which R/bioconductor package exists for discovery of intergenic transcripts?	[1 0 0 0]
Where is corticosterone synthesized?	[1 0 0 0]
Which particular intersex phenotype is related to steroid reductase?	[1 0 0 0]
Which gene is responsible for the Liebenberg syndrome?	[1 0 0 0]
Which is the main ligand for the glucocorticoid receptor?	[1 0 0 0]
What is the function of the Eyeless associated gene in Drosophila?	[1 0 0 0]
What percent of Rheumatoid Arthritis (RA) patients are not responding to anti-TNF therapy?	[1 0 0 0]
Which component of the Influenza A Virus affects mRNA transcription termination?	[1 0 0 0]
What effect does Methylsulfonylmethane (MSM) have on inflammation?	[1 0 0 0]
Which R package can infer protein-protein interactions via thermal proximity coaggregation (TPCA)?	[1 0 0 0]
What year was the first successful human heart transplant performed?	[1 0 0 0]
Which disease is monitored in the BIOCURA cohort?	[1 0 0 0]
Which gene is associated with response to abacavir?	[1 0 0 0]
Which human tissue synthesize CRP?	[1 0 0 0]
The formation of which inflammatory molecule is regulated by MAP3K8 (TPL2)?	[1 0 0 0]
Which company produces the Oncomine Dx target test?	[1 0 0 0]
Which molecule is targeted by Teprotumumab?	[1 0 0 0]
Which protein is encoded by the protein APOBEC3C?	[1 0 0 0]
What is the major sequence determinant for nucleosome positioning?	[1 0 0 0]
Which is the primary enzyme metabolizing esomeprazole?	[1 0 0 0]
What disease is treated with BIVV001?	[1 0 0 0]
What is the mode of action of Thiazovivin?	[1 0 0 0]
How many genes are screened by the FoundationOne companion diagnostic?	[1 0 0 0]
Interaction of WDR5 with which gene has a critical role in pancreatic cancer?	[1 0 0 0]
Which R/Bioconductor package has been developed for visualizing differential amino acid group usage in proteomics?	[1 0 0 0]
Dasatinib and Blinatumomab are used for treatment of which disease?	[1 0 0 0]
Which is the main gene signature in Systemic Lupus Erythematosus (SLE)?	[1 0 0 0]
Is the protein Papilin secreted?	[0 1 0 0]
Are long non coding RNAs spliced?	[0 1 0 0]
Is RANKL secreted from the cells?	[0 1 0 0]
Has Denosumab (Prolia) been approved by FDA?	[0 1 0 0]
Is the monoclonal antibody Trastuzumab (Herceptin) of potential use in the treatment of prostate cancer?	[0 1 0 0]
Are transcription and splicing connected?	[0 1 0 0]
Is Alu hypomethylation associated with breast cancer?	[0 1 0 0]
Proteomic analyses need prior knowledge of the organism complete genome. Is the complete genome of the bacteria of the genus Arthrobacter available?	[0 1 0 0]
Do mutations of AKT1 occur in meningiomas?	[0 1 0 0]
Does physical activity influence gut hormones?	[0 1 0 0]
Is irritable bowel syndrome more common in women with endometriosis?	[0 1 0 0]
Does BNP increase after intensive exercise in athletes?	[0 1 0 0]
Are there web based self management strategies for chronic pain ?	[0 1 0 0]
Is Weaver syndrome similar to Sotos?	[0 1 0 0]
Are ultraconserved elements often transcribed?	[0 1 0 0]
Is peripheral neuroepithelioma related to Ewing sarcoma?	[0 1 0 0]
Is c-met involved in the activation of the Akt pathway?	[0 1 0 0]
Is pregnancy an additional risk during during H1N1 infection?	[0 1 0 0]
Is TENS machine effective in pain?	[0 1 0 0]
Is there any algorithm for enhancer identification from chromatin state?	[0 1 0 0]
Are transcribed ultraconserved regions involved in cancer?	[0 1 0 0]
Do patients with Pendred syndrome present congenital deafness?	[0 1 0 0]
Is CD56 useful in Ewing sarcoma prognosis?	[0 1 0 0]
Are there any urine biomarkers for chronic kidney disease?	[0 1 0 0]
Is valproic acid effective for glioblastoma treatment?	[0 1 0 0]
Can Levoxyl (levothyroxine sodium) cause insomnia?	[0 1 0 0]
Is fatigue prevalent in patients receiving treatment for glioblastoma?	[0 1 0 0]
Have Quantitative Trait Loci affecting splicing (splicing QTLs) been linked to disease?	[0 1 0 0]
Does the CTCF protein co-localize with cohesin?	[0 1 0 0]
Are stress granules involved in the pathogenesis of Amyotrophic Lateral Sclerosis?	[0 1 0 0]
Does TGF-beta play a role in cardiac regeneration after myocardial infarction?	[0 1 0 0]
Is DITPA a thyroid hormone analog utilized in experimental and clinical studies	[0 1 0 0]
Is MammaPrint cleared by the United States Food and Drug Administration? 	[0 1 0 0]
Is amantadine effective for treatment of disorders conciousness?	[0 1 0 0]
Is GAGA associated with nucleosome-free regions (NFR)?	[0 1 0 0]
Is SLC22A3 expressed in the brain?	[0 1 0 0]
Has the protein TIEG1 been associated with apoptosis?	[0 1 0 0]
Is PTEN involved in follicular thyroid carcinoma?	[0 1 0 0]
Does strenuous physical activity affect thyroid hormone metabolism?	[0 1 0 0]
Is the gene MAOA epigenetically modified by methylation?	[0 1 0 0]
Is glycyl-tRNA synthetase gene involved in the development of Charcot-Marie-Tooth disease?	[0 1 0 0]
Is there any software for automated analysis of FISH images?	[0 1 0 0]
Is there an increased risk for cancer in Dyskeratosis Congenita?	[0 1 0 0]
Does MicroRNA-21 (miR-21) contribute to cardiovascular disease?	[0 1 0 0]
Are there any statistical methods for normalizing and identifying differential regions in histone modification ChIP-seq data?	[0 1 0 0]
Is CD84 genetically associated with arthritis?	[0 1 0 0]
Is cytisine superior to nicotine replacement therapy for smoking cessation?	[0 1 0 0]
Does thyroid hormone regulate calcium transient in the myocardium? 	[0 1 0 0]
Are proteasome inhibitors good candidates for treatment of leukemia and solid tumors?	[0 1 0 0]
Is there any link between CTF4 and CTF18 during sister chromatid cohesion?	[0 1 0 0]
Are thyroid hormone receptor alpha1 mutations implicated in thyroid hormone resistance syndrome?	[0 1 0 0]
Is long QT syndrome a cause for sudden cardiac death in athletes?	[0 1 0 0]
Is protein M3/6 a dual specificity phosphatase?	[0 1 0 0]
Are there focused databases from which you can retrieve gene expression data on renal disease?	[0 1 0 0]
Are there any DNMT3 proteins present in plants?	[0 1 0 0]
Has vitamin D has been shown to reduce incidence of falls in older people in clinical trials?	[0 1 0 0]
Has depression been shown to be a predictor of frailty?	[0 1 0 0]
Is there any association between Jarid2 and miR-155 in Th17 cells?	[0 1 0 0]
Can DNA intercalators function as topoisomerase inhibitors?	[0 1 0 0]
Do orphan and gene related CpG islands follow power-law-like distributions?	[0 1 0 0]
Can valproic acid act as an activator of AMPK?	[0 1 0 0]
Is the Drosophila Translational Control Element (TCE) involved in spermatogenesis?	[0 1 0 0]
Is low T3 syndrome a prognostic marker in patients with renal insufficiency?	[0 1 0 0]
Does burning mouth syndrome preferentially affect post-mepopausal women?	[0 1 0 0]
Can life style changes reduce oxidative stress	[0 1 0 0]
Is oxidative stress affected by FOXO expression?	[0 1 0 0]
Is the Dictyostelium discoideum proteome known?	[0 1 0 0]
Is shotgun lipidomics the direct infusion of a lipid sample into a mass spectrometer?	[0 1 0 0]
Is apixaban effective for treatment of acute venous thromboembolism?	[0 1 0 0]
Is the tricarboxylic acid (TCA) cycle affected in inflammation?	[0 1 0 0]
Are reduced-nicotine cigarettes effective for smoking cessation?	[0 1 0 0]
Is the Wnt protein modified by notum?	[0 1 0 0]
Is ospemifene effective for treatment of dyspareunia?	[0 1 0 0]
Is pregabalin effective for treatment of patients with restless leg syndrome?	[0 1 0 0]
Can zinc finger nucleases be used to combat disease?	[0 1 0 0]
Is RET the major gene involved in Hirschsprung disease?	[0 1 0 0]
is intense physical activity associated with longevity ?	[0 1 0 0]
Are cyclophilins proteins that bind to prolines?	[0 1 0 0]
Can a given genotype exhibit opposite fitness effects (beneficial and detrimental) within the same environment?	[0 1 0 0]
Has the protein SETMAR (Metnase) a transposase domain?	[0 1 0 0]
Is alternative splicing of apoptotic genes playing a role in the response to DNA or mitochondrial damage?	[0 1 0 0]
Is nucleosome eviction ATP-dependent?	[0 1 0 0]
Is TREM2 associated with Alzheimer's disease in humans?	[0 1 0 0]
Have mutations in the Polycomb group been found in human diseases?	[0 1 0 0]
Is microRNA(miRNA) 29 involved in post-ischemic cardiac remodeling?	[0 1 0 0]
Is exonuclease Xrn1 a component of the P-bodies?	[0 1 0 0]
Can sorafenib activate AMPK?	[0 1 0 0]
Is exome sequencing efficient for the detection of germline mutations?	[0 1 0 0]
Is it feasible to determine the complete proteome of yeast?	[0 1 0 0]
Are circRNAs associated with diseases and traits?	[0 1 0 0]
Could the Menzerath-Altmann law be proved mathematically trivial in genomes?	[0 1 0 0]
Are there studies representing the involvement of Notch mutations in neurodegenerative diseases such as Down syndrome, Pick's and Prion's disease, and cadasil syndrome?	[0 1 0 0]
Are there any functional differences between Mfd and its human Cocaine syndrome protein B (CSB) homolog?	[0 1 0 0]
Is the yeast Μac1 transcription factor induced upon copper deficiency?	[0 1 0 0]
Is there a package in R/bioconductor for classification of alternative splicing?	[0 1 0 0]
Is alemtuzumab effective for remission induction in patients diagnosed with T-cell prolymphocytic leukemia?	[0 1 0 0]
Is there an association between TERT promoter mutation and survival of glioblastoma patients?	[0 1 0 0]
Is intense physical activity associated with longevity?	[0 1 0 0]
Is desmin an intermediate filament protein involved in Dilated Cardiomyopathy (DCM)?	[0 1 0 0]
Is lambrolizumab effective for treatment of patients with melanoma ?	[0 1 0 0]
Is cadasil syndrome a hereditary disease?	[0 1 0 0]
Is nintedanib effective for Idiopathic Pulmonary Fibrosis?	[0 1 0 0]
Is pesticide exposure associated with polyneuropathy?	[0 1 0 0]
Does PU.1 (SPI1) affect NF-kB binding?	[0 1 0 0]
Is there an association between bruxism and reflux?	[0 1 0 0]
Is paroxetine effective for treatment of premenstrual dysphoric disorder?	[0 1 0 0]
Does a linker histone exist in the yeast genome?	[0 1 0 0]
Can protein coding exons originate from ALU sequences?	[0 1 0 0]
Is there evidence that tomato juice lowers cholesterol levels?	[0 1 0 0]
Are there transposon-free regions in mammalian genomes?	[0 1 0 0]
Are messenger RNA molecules epigenetically methylated?	[0 1 0 0]
Have gnotobiotic animal models been used for the study of bowel disease?	[0 1 0 0]
Is invasion and metastasis one of the hallmarks of cancer?	[0 1 0 0]
Is there a role for the cylindromatosis tumor suppressor (CYLD) in lung cancer?	[0 1 0 0]
Is there any relationship between histone ubiquitylation and splicing?	[0 1 0 0]
Can SUMO affect calcium homeostasis?	[0 1 0 0]
Have mutations in the GARS gene been identified to cause Charcot-Marie-Tooth Disease Type 2D (CMT2D)?	[0 1 0 0]
Does melanoma  occur in people of African origin ?	[0 1 0 0]
Are people with blood group O protected against severe Malaria?	[0 1 0 0]
Is there a crystal structure of the full-length of the flaviviridae NS5(Methyltransferase - RNA depended RNA Polymerase) ?	[0 1 0 0]
Can venlafaxine block NET and SERT?	[0 1 0 0]
Can vitamin B1 deficiency cause encephalopathy?	[0 1 0 0]
Are epigenetic modifications implicated in cardiovascular development and disease?	[0 1 0 0]
Can exosomes be detected in urine?	[0 1 0 0]
Is Kanzaki disease associated with deficiency in alpha-N-acetylgalactosaminidase?	[0 1 0 0]
Is Mycobacterium avium less susceptible to antibiotics than Mycobacterium tuberculosis?	[0 1 0 0]
Are there conserved noncoding elements identified between genomes of human and teleosts?	[0 1 0 0]
Does cortical spreading depression appear in ischemic penumbra following ischemic stroke?	[0 1 0 0]
Is phospholamban a regulatory/inhibitory protein of the Ca ATPase SERCA?	[0 1 0 0]
Is Alpers disease inherited in an autosomal recessive mode?	[0 1 0 0]
Is vemurafenib effective for hairy-cell leukemia?	[0 1 0 0]
Is there an association between TERT promoter mutation and survival of glioma patients?	[0 1 0 0]
Does ziconotide bind to N-type calcium channels?	[0 1 0 0]
Is stop codon bypass possible?	[0 1 0 0]
Is the protein β1-integrin recycled?	[0 1 0 0]
Are BBS mutations involved in syndromic Hirschsprung disease?	[0 1 0 0]
Is there any software for automated analysis of immuno-histochemistry images?	[0 1 0 0]
Is TALEN being used on stem cells?	[0 1 0 0]
Is there an association between bruxism and reflux	[0 1 0 0]
Can a peptide aptamer be used as protein inhibitor?	[0 1 0 0]
Are integrins part of the extracellular matrix?	[0 1 0 0]
Is Calcium homeostasis important in cardiac physiology and pathophysiology?	[0 1 0 0]
Is the gene DUX4 epigenetically regulated in somatic cells?	[0 1 0 0]
Have hESC been tested for the treatment of age-related macular degeneration?	[0 1 0 0]
Is zyxin a focal adhesion protein?	[0 1 0 0]
Could DNA (cytosine-5-)-methyltransferases serve as tumour markers?	[0 1 0 0]
Is phospholamban phosphorylated by Protein kinase A?	[0 1 0 0]
Are there telemedicine applications for chronic pain management?	[0 1 0 0]
Is there any link between the aurora B kinase and the polycomb protein ring1B?	[0 1 0 0]
Is CD99 encoded by MIC2 gene?	[0 1 0 0]
Has the fungus Ashbya gossypii got many nuclei that share cytoplasm?	[0 1 0 0]
Is microRNA(miRNA) 30 involved in post-ischemic cardiac remodeling?	[0 1 0 0]
Is statin use associated with improved outcomes after aneurysmal subarachnoid hemorrhage?	[0 1 0 0]
Does molindone affect body weight?	[0 1 0 0]
Could Arimidex (anastrozole) cause hot flashes?	[0 1 0 0]
Are Alu elements transcribed?	[0 1 0 0]
Is low T3 syndrome related with high BNP in cardiac patients?	[0 1 0 0]
Is delayed enhancement documented in patients with non-ischemic dilated cardiomyopathy?	[0 1 0 0]
Has overexpression of sirtuins been reported to increase lifespan in budding yeast (Saccharomyces cerevisiae)?	[0 1 0 0]
Is TREM2 associated with Alzheimer's disease?	[0 1 0 0]
Does the protein mTOR regulate autophagy?	[0 1 0 0]
Has proteomics been used in the study of Pick's disease?	[0 1 0 0]
Are there any urine biomarkers for bladder cancer diagnosis?	[0 1 0 0]
Is signal transducer and activator of transcription-3 (STAT3) critical for tumor angiogenesis progression?	[0 1 0 0]
Is sumoylation implicated in myogenesis?	[0 1 0 0]
Is the Miller-Fisher syndrome considered to be a variant of Guillain-Barré?	[0 1 0 0]
Is Ctf4 involved in sister chromatid cohesion establishment?	[0 1 0 0]
Are retroviruses used for gene therapy?	[0 1 0 0]
Do lincRNAs play a role in human cancer?	[0 1 0 0]
Is there a phylogenetic analysis for HIV?	[0 1 0 0]
Are there randomised controlled trials on sevoflurane?	[0 1 0 0]
Can FOXOs modulate longevity?	[0 1 0 0]
Is there an association between FGFR3 mutation and plagiocephaly?	[0 1 0 0]
Are CD44 variants (CD44v) associated with poor prognosis of metastasis?	[0 1 0 0]
Is Bladder training an effective method to treat  urge incontinence ?	[0 1 0 0]
Do proton pump inhibitors affect thyroxine absorption?	[0 1 0 0]
Is PER3 required for CHK2 activation in human cells?	[0 1 0 0]
Are there any clinical trials of the effect of evening primrose oil on postmenopausal symptoms ?	[0 1 0 0]
Is acid alpha-glucosidase the enzyme that causes Pompe disease when mutant?	[0 1 0 0]
Is the optogenetics tool ChR2 light-sensitive?	[0 1 0 0]
Is autism one of the characteristics of Moebius syndrome?	[0 1 0 0]
Is Sarcolipin a regulatory/inhibitory protein of the Calcium ATPase SERCA?	[0 1 0 0]
Is the circadian clock involved in ribosome biogenesis?	[0 1 0 0]
Can mutations in Calmodulin cause ventricular fibrillation?	[0 1 0 0]
Is rivaroxaban metabolized in kidneys?	[0 1 0 0]
Is Hirschsprung disease one of the characteristics of the Mowat-Wilson syndrome?	[0 1 0 0]
Is PLK2 involved in alpha-synuclein phosphorylation in the nervous system?	[0 1 0 0]
Is insulin-like growth factor-I (IGF-I) able to affect tendon protein synthesis in classic Ehlers-Danlos syndrome patients?	[0 1 0 0]
Is tubulin acetylation involved in cell motility?	[0 1 0 0]
Can PLN mutations lead to dilated cardiomyopathy?	[0 1 0 0]
Is corpus callosum involved in the Mowat–Wilson syndrome?	[0 1 0 0]
Is flibanserin effetive for Hypoactive Sexual Desire Disorder? 	[0 1 0 0]
Is protein CXCR4 used as a prognostic marker of cancer?	[0 1 0 0]
Is transcapillary  albumin escape altered in diabetic patients?	[0 1 0 0]
Are conserved noncoding elements associated with developmental genes?	[0 1 0 0]
Is myasthenia gravis associated with osteoporosis?	[0 1 0 0]
Is there evidence to suggest that triiodothyronine has neuroprotective properties in traumatic brain injury?	[0 1 0 0]
Is Lysine-specific demethylase 1 (LSD1) a critical regulator of hematopoiesis?	[0 1 0 0]
Could transcription factors act as cell-cell signalling molecules?	[0 1 0 0]
"Could Catecholaminergic Polymorphic Ventricular Tachycardia (CPVT)
cause sudden cardiac death?"	[0 1 0 0]
Are histone deacetylase (HDAC) inhibitors good candidates to control metastasis of solid tumors?	[0 1 0 0]
Is muscle lim protein (MLP) involved in cardiomyopathies?	[0 1 0 0]
Have 5q35 microdeletions been implicated in Sotos syndrome development?	[0 1 0 0]
Is metabolic syndrome related with cardiovascular disease?	[0 1 0 0]
Is there any functional association during viral replication between flaviviridae viral RNA depended RNA polymerase and viral helicase?	[0 1 0 0]
Are defects in recombination repair involved in carcinogenesis?	[0 1 0 0]
Are seizures among the neurological symptoms of incontinentia pigmenti?	[0 1 0 0]
Is there a genome-wide technique for the detection of R-loop formation?	[0 1 0 0]
Can bioprinting use human cells?	[0 1 0 0]
Is transcription-associated mutagenesis (TAM) related to gene expression levels?	[0 1 0 0]
Is there a pharmacogenetic test for trastuzumab?	[0 1 0 0]
Do carmustine wafers improve survival of glioblastoma patients?	[0 1 0 0]
Is Dicer part of the RISC loading complex?	[0 1 0 0]
Is hypersensitivity to DNA crosslinking agents a hallmark of Fanconi anemia?	[0 1 0 0]
Have C12orf65 mutations been associated with axonal neuropathy and optic atrophy?	[0 1 0 0]
Are psammoma bodies characteristic to meningiomas?	[0 1 0 0]
Is cystatin C or cystatin 3 used as a biomarker of kidney function?	[0 1 0 0]
Can fetal aneuploidy be detected with non-invasive prenatal testing?	[0 1 0 0]
Is dichlorphenamide effective for periodic paralysis?	[0 1 0 0]
Is nivolumab used for treatment of Non–Small-Cell Lung Cancer?	[0 1 0 0]
Does replication timing affect the rate of somatic mutations?	[0 1 0 0]
Is NOD1 activated in inflammation?	[0 1 0 0]
Does the histidine-rich Ca-binding protein (HRC) interact with triadin?	[0 1 0 0]
Are there plasma membrane receptors for thyroid hormones?	[0 1 0 0]
Does Rad9 interact with Aft1 in S.cerevisiae?	[0 1 0 0]
Are viruses involved in the etiology of human subacute thyroiditis?	[0 1 0 0]
Is miR-126 involved in heart failure?	[0 1 0 0]
Does resveratrol reduce cardiac remodeling?	[0 1 0 0]
Is oxalate renal excretion increased after bariatric surgery?	[0 1 0 0]
Is there a role for transcription factories in genome organization?	[0 1 0 0]
Is the length of the poly(A) tail involved in human disease?	[0 1 0 0]
Are patients with marfan syndrome at increased risk of arrhythmias?	[0 1 0 0]
Has protein citrullination been implicated in rheumatoid arthritis?	[0 1 0 0]
Do R-loops tend to form at sites of DNA replication?	[0 1 0 0]
Is selenium deficiency involved in autoimmune thyroid disease?	[0 1 0 0]
Is STAT3 involved in EIF2AK2-dependent suppression of autophagy?	[0 1 0 0]
Are CTCF and BORIS involved in genome regulation and cancer?	[0 1 0 0]
